Index;Country;Programme;Year;University;University code;Latitude;Longitude;Reserved
1;Ecuador ;Sociology of Law;2021;Lund University;LU;55,7119;13,2035;FALSE
2;Nigeria ;Service Management, Sustainable Service Management;2021;Lund University;LU;55,7119;13,2035;FALSE
3;Indonesia ;Industrial Management and Innovation;2021;Uppsala University;UU;59,8509;17,63;FALSE
4;Guatemala ;Information Systems;2021;Lund University;LU;55,7119;13,2035;FALSE
5;Indonesia ;European Affairs;2021;Lund University;LU;55,7119;13,2035;FALSE
6;Zimbabwe ;Innovation and Design;2021;Mälardalen University;MDH;59,6186;16,5404;FALSE
7;Zimbabwe ;Strategic Entrepreneurship for International Growth with specialization in Strategic Leadership;2021;Halmstad University;HH;56,6647;12,878;FALSE
8;Gambia ;Robotics and Automation;2021;University West;HV;58,2832;12,294;FALSE
9;Uganda ;Outdoor and Sustainability Education;2021;Linköping University;LIU;58,3978;15,576;FALSE
10;Guatemala ;European and International Trade and Tax Law;2021;Lund University;LU;55,7119;13,2035;FALSE
11;Guatemala ;Psychology;2021;Lund University;LU;55,7119;13,2035;FALSE
12;Colombia ;Sustainable Technology;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
13;Malawi ;Interventions in Childhood;2021;Jönköping University;HJ;57,7786;14,1619;FALSE
14;Cameroon ;Business Administration (MBA): Business Management;2021;University of Gävle;HIG;60,6685;17,1188;FALSE
15;Nigeria ;Economics;2021;Lund University;LU;55,7119;13,2035;FALSE
16;Zambia ;Educational Research;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
17;Ghana ;Educational Research;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
18;Russia ;Energy-efficient and Environmental Building Design;2021;Lund University;LU;55,7119;13,2035;FALSE
19;Indonesia ;Managing People, Knowledge & Change;2021;Lund University;LU;55,7119;13,2035;FALSE
20;Nigeria ;Intelligent Embedded Systems;2021;Mälardalen University;MDH;59,6186;16,5404;FALSE
21;Cambodia ;Communication;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
22;Ecuador ;Civil Engineering, with specialization in mining and Geotechnical Engineering;2021;Luleå University of Technology;LTU;65,618;22,1402;FALSE
23;Peru ;Innovation and Design;2021;Mälardalen University;MDH;59,6186;16,5404;FALSE
24;Malawi ;Public Health Science - Health Equality;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
25;Uganda ;Leadership and Management in International Contexts;2021;Linnaeus University;LNU;56,8545;14,83;FALSE
26;Tanzania ;Agroecology;2021;Swedish University of Agricultural Sciences;SLU;59,815;17,6629;FALSE
27;Ecuador ;Entrepreneurship and Innovation;2021;Lund University;LU;55,7119;13,2035;FALSE
28;Sudan ;Global Health;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
29;Cameroon ;Information Systems;2021;Linnaeus University;LNU;56,8545;14,83;FALSE
30;Ghana ;Business Administration, Accounting;2021;University of Gävle;HIG;60,6685;17,1188;FALSE
31;Cameroon ;Leadership for Sustainable Development: Sociology;2021;Södertörn University;SH;59,2194;17,9434;FALSE
32;Philippines ;Health Informatics;2021;Karolinska University Hospital;KI;59,3522;18,0322;FALSE
33;Gambia ;Public Health Promotion and Prevention;2021;Karolinska University Hospital;KI;59,3522;18,0322;FALSE
34;Ghana ;IT and Management;2021;University West;HV;58,2832;12,294;FALSE
35;Liberia ;Business Administration, Accounting;2021;University of Gävle;HIG;60,6685;17,1188;FALSE
36;Gambia ;Business Development and Internationalisation;2021;Umeå University;UMU;63,8202;20,3054;FALSE
37;Nigeria ;Science for Sustainable Development;2021;Linköping University;LIU;58,3978;15,576;FALSE
38;Guatemala ;Pharmaceutical Technology: Discovery, Development and Production;2021;Lund University;LU;55,7119;13,2035;FALSE
39;Guatemala ;Sustainable Production Development;2021;KTH Royal Institute of Technology;KTH;59,3499;18,0703;FALSE
40;Cameroon ;"Business Process Control and Supply Chain Management - Frontiers in
Logistics & Supply Chain Managemen";2021;Linnaeus University;LNU;56,8545;14,83;FALSE
41;Cameroon ;Exploration and Environmental Geosciences;2021;Luleå University of Technology;LTU;65,618;22,1402;FALSE
42;Nigeria ;Public Health Sciences: Individual perspectives;2021;Stockholm University;SU;59,3622;18,0578;FALSE
43;Zambia ;Soil, Water and Environment;2021;Swedish University of Agricultural Sciences;SLU;59,815;17,6629;FALSE
44;Uganda ;Energy Efficient Built Environments;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
45;Zambia ;Social Scientific Data Analysis;2021;Lund University;LU;55,7119;13,2035;FALSE
46;Zambia ;Science for Sustainable Development;2021;Linköping University;LIU;58,3978;15,576;FALSE
47;Georgia ;Investigative Journalism;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
48;Nigeria ;Strategic Urban and Regional Planning;2021;Linköping University;LIU;58,3978;15,576;FALSE
49;Liberia ;Business Intelligence;2021;Dalarna University in Sweden;HDA;60,6144;15,6534;FALSE
50;Nigeria ;"Plant Biology for Sustainable Production - Plant Protection and Breeding for Mitigating Climate
Change";2021;Swedish University of Agricultural Sciences;SLU;59,815;17,6629;FALSE
51;Nigeria ;Data Science;2021;University of Skövde;HS;58,3941;13,8535;FALSE
52;Cameroon ;Political Science - Gothenburg;2021;University of Gothenburg;GU;57,6982;11,9719;FALSE
53;Nigeria ;Business Administration - Specialising in Auditing and Control;2021;Kristianstad University;HKR;56,0485;14,1463;FALSE
54;Colombia ;Digital Business;2021;Jönköping University;HJ;57,7786;14,1619;FALSE
55;Nigeria ;Exploration and Environmental Geosciences;2021;Luleå University of Technology;LTU;65,618;22,1402;FALSE
56;Liberia ;Business Administration - Specialising in Auditing and Control;2021;Kristianstad University;HKR;56,0485;14,1463;FALSE
